Dodavka; Platce; Nazev platce; Zuctovaci datum; Artikl; Nazev; Mnozstvi zaklad; Cena prodeje LM; Kurz prodeje LM/EUR; Cena nakup jedn EUR
SPDL23106480; K50086; BILLA s.r.o.; 22.02.24; 4200020; Rajčatový kečup jemný 342g B10; 580; 545,2; 1; 1,02
SPDL23106480; K50086; BILLA s.r.o.; 22.02.24; 4200060; Rajčatový kečup ostrý 570g B12; 168; 260,4; 1; 1,31
SPDL23106480; K50086; BILLA s.r.o.; 22.02.24; 4200070; Rajč. kečup 50% SS 550g(500ml)B10; 350; 542,5; 1; 1,43
SPDL23106480; K50086; BILLA s.r.o.; 22.02.24; 4201000; Fazole 415g B24; 408; 444,72; 1; 0,91
SPDL23106480; K50086; BILLA s.r.o.; 22.02.24; 4201010; Fazole bez cukru 415g B24; 120; 130,8; 1; 1,04
SPDL23106480; K50086; BILLA s.r.o.; 22.02.24; 4202520; Omáčka Sweet Chilli 220ml B8; 64; 84,48; 1; 1,09
SPDL23106480; K50086; BILLA s.r.o.; 22.02.24; 4202700; BBQ Omáčka TD 220ml B8; 184; 242,88; 1; 1,06
SPDL23106480; K50086; BILLA s.r.o.; 22.02.24; 4202720; 3 druhy pepře omáčka 220 ml B8; 40; 52,8; 1; 1,07
SPDL23106482; K50086; BILLA s.r.o.; 22.02.24; 4202510; Omáčka česneková 400ml B10; 340; 591,6; 1; 0,96
SPDL23106482; K50086; BILLA s.r.o.; 22.02.24; 4202600; Omáčka hranolky 400ml B10; 810; 1409,4; 1; 0,96
SPDL23106482; K50086; BILLA s.r.o.; 22.02.24; 4203140; Majonéza SG sklo 480ml B8; 1600; 2800; 1; 1,5
SPDL23106485; K50086; BILLA s.r.o.; 22.02.24; 4202510; Omáčka česneková 400ml B10; 70; 121,8; 1; 0,96
SPDL23106485; K50086; BILLA s.r.o.; 22.02.24; 4202600; Omáčka hranolky 400ml B10; 110; 191,4; 1; 0,96
SPDL23106485; K50086; BILLA s.r.o.; 22.02.24; 4203140; Majonéza SG sklo 480ml B8; 928; 1624; 1; 1,5
SPDL23106489; K50089; KAUFLAND Slovenská republika v.o.s.; 23.02.24; 4202180; Omáčka Hot Dog 400ml B10; 190; 311,6; 1; 1,15
SPDL23106489; K50089; KAUFLAND Slovenská republika v.o.s.; 23.02.24; 4202510; Omáčka česneková 400ml B10; 570; 934,8; 1; 0,96
SPDL23106491; K50085; TESCO STORES SR a.s.; 23.02.24; 4200000; Rajčatový kečup jemný 1kg(875ml) B8; 2048; 5324,8; 1; 2,22
SPDL23106491; K50085; TESCO STORES SR a.s.; 23.02.24; 4200020; Rajčatový kečup jemný 342g B10; 1160; 1206,4; 1; 1,02
SPDL23106491; K50085; TESCO STORES SR a.s.; 23.02.24; 4200030; Rajčatový kečup 450g B15; 2310; 2933,7; 1; 1,13
SPDL23106491; K50085; TESCO STORES SR a.s.; 23.02.24; 4200150; Rajčatový kečup ostrý 455g B15; 210; 266,7; 1; 1,2
SPDL23106491; K50085; TESCO STORES SR a.s.; 23.02.24; 4201000; Fazole 415g B24; 864; 950,4; 1; 0,91
SPDL23106491; K50085; TESCO STORES SR a.s.; 23.02.24; 4202150; BBQ Omáčka sladká 400ml B10; 570; 912; 1; 1,4
SPDL23106497; K50085; TESCO STORES SR a.s.; 23.02.24; 4202140; BBQ Omáčka classic 400ml B10; 50; 80; 1; 1,38
SPDL23106498; K50085; TESCO STORES SR a.s.; 23.02.24; 4202140; BBQ Omáčka classic 400ml B10; 330; 528; 1; 1,38
SPDL23106502; K50086; BILLA s.r.o.; 23.02.24; 4202510; Omáčka česneková 400ml B10; 50; 87; 1; 0,96
SPDL23106502; K50086; BILLA s.r.o.; 23.02.24; 4202600; Omáčka hranolky 400ml B10; 60; 104,4; 1; 0,96
SPDL23106502; K50086; BILLA s.r.o.; 23.02.24; 4203140; Majonéza SG sklo 480ml B8; 232; 406; 1; 1,5
SPDL23106520; K50086; BILLA s.r.o.; 23.02.24; 4200000; Rajčatový kečup jemný 1kg(875ml) B8; 48; 115,2; 1; 2,22
SPDL23106520; K50086; BILLA s.r.o.; 23.02.24; 4200010; Rajčatový kečup jemný570g(500ml)B12; 204; 316,2; 1; 1,36
SPDL23106520; K50086; BILLA s.r.o.; 23.02.24; 4200020; Rajčatový kečup jemný 342g B10; 90; 84,6; 1; 1,02
SPDL23106520; K50086; BILLA s.r.o.; 23.02.24; 4200060; Rajčatový kečup ostrý 570g B12; 24; 37,2; 1; 1,31
SPDL23106520; K50086; BILLA s.r.o.; 23.02.24; 4200070; Rajč. kečup 50% SS 550g(500ml)B10; 20; 31; 1; 1,43
SPDL23106520; K50086; BILLA s.r.o.; 23.02.24; 4201000; Fazole 415g B24; 168; 183,12; 1; 0,91
SPDL23106520; K50086; BILLA s.r.o.; 23.02.24; 4201010; Fazole bez cukru 415g B24; 72; 78,48; 1; 1,04
SPDL23106520; K50086; BILLA s.r.o.; 23.02.24; 4202520; Omáčka Sweet Chilli 220ml B8; 24; 31,68; 1; 1,09
SPDL23106520; K50086; BILLA s.r.o.; 23.02.24; 4202700; BBQ Omáčka TD 220ml B8; 16; 21,12; 1; 1,06
SPDL23106520; K50086; BILLA s.r.o.; 23.02.24; 4202720; 3 druhy pepře omáčka 220 ml B8; 8; 10,56; 1; 1,07
SPDL23106521; K50086; BILLA s.r.o.; 15.02.24; 4200020; Rajčatový kečup jemný 342g B10; 370; 362,6; 1; 1,02
